x,FM,EM
4,-0.0414727,-0.0301916
4.00818,-0.0414849,-0.0300713
4.49883,-0.0422205,-0.0228504
4.50701,-0.0422328,-0.0227258
4.99766,-0.0433729,-0.0152494
5.25935,-0.0448931,-0.0110689
5.4965,-0.0459952,-0.00726841
5.50467,-0.0460333,-0.00711401
5.75818,-0.0478183,-0.00232779
5.77453,-0.0479335,-0.00196085
5.99533,-0.0505938,0.00299287
6.19159,-0.0540143,0.00831354
6.40421,-0.0584059,0.0143943
6.41238,-0.0585748,0.0146917
6.59229,-0.0633006,0.0212352
6.60047,-0.0635154,0.0215544
6.79673,-0.0699762,0.0292162
6.99299,-0.0754489,0.0368171
7.00117,-0.075677,0.0370388
7.18925,-0.0800475,0.0421378
7.19743,-0.0802375,0.0422898
7.39369,-0.0835211,0.0459382
7.40187,-0.083658,0.0460227
7.58995,-0.0859382,0.0479652
7.61449,-0.0860295,0.0482185
7.79439,-0.0866983,0.0497387
8.00701,-0.0866983,0.0501047
8.01519,-0.0866983,0.0501188
8.19509,-0.0866983,0.0493587
8.20327,-0.0866983,0.0492979
8.39953,-0.0859382,0.0478385
8.59579,-0.0844181,0.0455582
8.79206,-0.0825938,0.0425178
8.80023,-0.0825178,0.0423658
8.9965,-0.079599,0.0387173
9.00467,-0.0794774,0.0385273
9.19276,-0.0761995,0.0341568
9.20093,-0.076057,0.0339439
9.3972,-0.0714964,0.0288361
9.5771,-0.0665558,0.0217614
9.71612,-0.0611718,0.0162945
9.77336,-0.0589549,0.0137102
9.99416,-0.0498337,0.00374211
10.0023,-0.0495033,0.00337292
10.1822,-0.0422328,-0.00470942
10.2477,-0.0400866,-0.00764846
10.3213,-0.0376722,-0.0101568
10.493,-0.0333189,-0.0160095
10.5012,-0.0331116,-0.0161436
10.632,-0.0316809,-0.0182898
10.6402,-0.0315914,-0.0183483
10.7383,-0.0312406,-0.0190499
10.7465,-0.0312114,-0.0190816
10.8364,-0.0312114,-0.0194299
10.8446,-0.0312114,-0.0194299
10.9918,-0.0319715,-0.0194299
